nieuwe straatnaam,oude straatnamen
Sint-Denijseweg,Straete van den Evangeliboom naer Cortryck 
Sint-Denijseweg,Sint Denysstraete 
Sint-Denijseweg,Sint Denijsstraat 
Sint-Denijseweg,Sint Denijsweg 
Sint-Elooisdreef,Couckensdreve of   
Sint-Elooisdreef,Sint-Elooidreef 
Sint-Janshof,Cité - St. - Jean 
Sint-Janshof,Sint - Jansbeluik
Sint-Janslaan,"Sint - Jansvestinglaan ,  Boulevard Saint - Jean "
Sint-Jansplein,
Sint-Jansstraat,Sente Jansstrate 
Sint-Jansstraat,Sint - Janstraat 
Sint-Jorisstraat,Roosemarynstraetken 
Sint-Jorisstraat,Strontstraetjen 
Sint-Jorisstraat,Rosemarijnstraat
Sint-Maartenskerkhof,In atrio ecclesie beati Martini 
Sint-Maartenskerkhof,Sente Martins Kerchove 
Sint-Maartenskerkhof,Blendekenskerkhof 
Sint-Maartenskerkhof,Maertens kerckhof
Sint-Maartenskerkstraat,Cuperstraetkin 
Sint-Maartenskerkstraat,Kerkstraete 
Sint-Maartenskerkstraat,Kerkstraat
Sint-Margriete-Houtemlaan,Sioenweg of voetweg  
Sint-Martens-Latemlaan,
Sint-Michielsplein,Area
